MutationID	5'PartnerGeneName	3'PartnerGeneName
COSF1729	ZSCAN30	BRAF
COSF1169	ZNF700	MAST1
COSF1169	ZNF700	MAST1
COSF1646	ZCCHC8	ROS1
COSF1470	ZC3H7B	BCOR
COSF1250	YWHAE	NUTM2B
COSF1248	YWHAE	FAM22A
COSF1148	VTI1A	TCF7L2
COSF1154	VTI1A	TCF7L2
COSF1152	VTI1A	TCF7L2
COSF1150	VTI1A	TCF7L2
COSF1057	VCL	ALK
COSF1299	UBE2L3	KRAS
COSF1528	RET	TRIM33
COSF1526	TRIM33	RET
COSF1520	TRIM27	RET
COSF1522	TRIM24	RET
COSF442	TPM4	ALK
COSF1274	TPM3	ROS1
COSF1664	TPM3	ROS1
COSF1330	TPM3	NTRK1
COSF1332	NTRK1	TPM3
COSF1320	TPM3	NTRK1
COSF1322	NTRK1	TPM3
COSF1319	TPM3	NTRK1
COSF1318	TPM3	NTRK1
COSF1321	NTRK1	TPM3
COSF440	TPM3	ALK
COSF443	TPM3	ALK
COSF1660	TP53	NTRK1
COSF1660	TP53	NTRK1
COSF1163	TMPRSS2	ETV5
COSF144	TMPRSS2	ETV4
COSF115	TMPRSS2	ETV1
COSF134	TMPRSS2	ETV1
COSF122	TMPRSS2	ETV1
COSF125	TMPRSS2	ERG
COSF128	TMPRSS2	ERG
COSF123	TMPRSS2	ERG
COSF126	TMPRSS2	ERG
COSF127	TMPRSS2	ERG
COSF736	TMPRSS2	ERG
COSF130	TMPRSS2	ERG
COSF135	TMPRSS2	ERG
COSF124	TMPRSS2	ERG
COSF116	TMPRSS2	ERG
COSF129	TMPRSS2	ERG
COSF139	TMPRSS2	ERG
COSF138	TMPRSS2	ERG
COSF118	TMPRSS2	ERG
COSF121	TMPRSS2	ERG
COSF1411	THRAP3	USP6
COSF1339	NTRK1	TFG
COSF1337	TFG	NTRK1
COSF1331	TFG	NTRK1
COSF610	TFG	NR4A3
COSF425	TFG	ALK
COSF432	TFG	ALK
COSF430	TFG	ALK
COSF429	TFG	ALK
COSF433	TFG	ALK
COSF719	TECTA	TBCEL
COSF1490	TCF3	PBX1
COSF2124	TCF3	PBX1
COSF2130	TCF3	PBX1
COSF2134	TCF3	PBX1
COSF2128	TCF3	PBX1
COSF2129	TCF3	PBX1
COSF2131	TCF3	PBX1
COSF2132	TCF3	PBX1
COSF2133	TCF3	PBX1
COSF2135	TCF3	PBX1
COSF2136	TCF3	PBX1
COSF2137	TCF3	PBX1
COSF2138	TCF3	PBX1
COSF2140	TCF3	PBX1
COSF2141	TCF3	PBX1
COSF2142	TCF3	PBX1
COSF2143	TCF3	PBX1
COSF2144	TCF3	PBX1
COSF2145	TCF3	PBX1
