Fus_ID	5tail	5	3tail	3	target	fusion_pair	ref
Fus_1	BCR	13	ABL1	1	ABL1	BCR–ABL1	PMID:27013275
Fus_2	MAGI3	8	AKT3	2	AKT3	MAGI3–AKT3	PMID:22722202
Fus_3	EML4	13	ALK	20	ALK	EML4–ALK	patent:CN104818320A
Fus_4	EML4	6	ALK	20	ALK	EML4–ALK	patent:CN104818320A
Fus_5	EML4	20	ALK	20	ALK	EML4–ALK	patent:CN104818320A
Fus_6	EML4	18	ALK	20	ALK	EML4–ALK	patent:CN104818320A
Fus_7	EML4	2	ALK	20	ALK	EML4–ALK	patent:CN104818320A
Fus_8	PAPSS1	5	c	9	BRAF	PAPSS1–BRAF	PMID:24345920
Fus_9	SLC45A3	1	BRAF	8	BRAF	SLC45A3–BRAF	PMID:20526350
Fus_10	IGH	.	CRLF2	.	CRLF2	IGH–CRLF2	PMID:22904298
Fus_11	TMPRSS2	1	ERG	2	ERG	TMPRSS2–ERG	PMID:21575865
Fus_12	ESR1	4	YAP1	.	ESR1	ESR1–YAP1	PMID:24055055
Fus_13	FGFR1	.	TACC1 	.	FGFR1	FGFR1–TACC1 	PMID:22837387
Fus_14	FGFR2	.	OFD1	.	FGFR2	FGFR2–OFD1	PMID:26324363
Fus_15	FGFR2	.	CASP7	.	FGFR2	FGFR2–CASP7	PMID:26324363
Fus_16	FGFR3	16	TACC3	8	FGFR3	FGFR3–TACC3	PMID:22837387
Fus_17	FGFR3	18	TACC3	11	FGFR3	FGFR3–TACC3	PMID:23376639
Fus_18	FGFR3	18	TACC3	10	FGFR3	FGFR3–TACC3	PMID:23376639
Fus_19	CTSD	.	IFITM10	.	IFITM10	CTSD–IFITM10	PMID:24929677
Fus_20	SEC31A	.	JAK2  	.	JAK2	SEC31A–JAK2  	PMID:22899477
Fus_21	ETV6	.	JAK2  	.	JAK2	ETV6–JAK2  	PMID:22899477
Fus_22	PCM1	36	JAK2	9	JAK2	PCM1–JAK2	PMID:22899477
